genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
DS_208	Bacteroides	271	5051299	93	14	4171	1	1	GUT_GENOME141452	UHGG	Isolate	SAMN02314417	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	271	222	130	98	64	27	5051299	5021101	4803322	4578690	3995136	2582676	257	192775	5046229	43.57	56245	31082	26	57	0	o__Bacteroidales_(UID2657)	99.26	0.02	100	1	origin	origin	#c9c493
228_700099512	Bacteroides	118	4756349	22	NA	3929	NA	1	GUT_GENOME102149	UHGG	MAG	SAMN00044564	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	118	118	111	99	64	37	4756349	4756349	4729302	4637599	4068714	3104001	118	201858	4756349	42.98	58776	36975	24	48	0	o__Bacteroidales_(UID2657)	95.06	0.37	0	1	origin	origin	#c9c493
228_700107375	Bacteroides	149	4634341	43	2	3740	1	NA	GUT_GENOME216241	UHGG	MAG	SAMN00073223	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	149	149	98	82	57	38	4634341	4634341	4516463	4399261	4030254	3399044	149	197820	4634341	43.68	78425	40062	22	40	0	o__Bacteroidales_(UID2657)	90.54	1.05	25	1	origin	origin	#c9c493
64817	Bacteroides	59	5272458	61	6	4412	1	NA	GUT_GENOME147862	UHGG	Isolate	SAMN02463924	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	59	57	52	47	39	31	5272458	5271316	5255850	5223590	5107158	4809407	59	421282	5272458	43.45	180078	84708	9	19	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
228_700024233	Bacteroides	61	4364780	24	NA	3507	1	2	GUT_GENOME101053	UHGG	MAG	SAMN00036796	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	61	61	57	55	46	33	4364780	4364780	4354777	4340289	4198872	3701950	61	330980	4364780	43.53	102946	65409	13	26	0	o__Bacteroidales_(UID2657)	91.93	0	0	1	origin	origin	#c9c493
S62_a_WGS	Bacteroides	490	4809804	58	1	3946	NA	2	GUT_GENOME103621	UHGG	MAG	SAMEA40015168	United Kingdom	Europe	Homo sapiens	faeces	Chron's disease	NA	NA	NA	490	490	322	167	29	3	4809804	4809804	4304118	3193390	1074873	179543	490	75417	4809804	43.1	14058	8361	102	213	0	o__Bacteroidales_(UID2657)	91.72	0.76	50	1	origin	origin	#c9c493
Brf_82A12	Bacteroides	93	5447734	65	9	4621	1	2	GCA_900624785.1_82A12_genomic.fna	Genbank	Isolate	SAMEA5128823	NA	NA	Homo sapiens	faeces	NA	NA	NA	NA	93	86	59	51	40	34	5447734	5442511	5385822	5327263	5137267	4889457	93	377070	5447734	43.42	155197	93079	11	22	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
894_BFRA	Bacteroides	370	5314495	29	2	4397	1	1	GCA_001058775.1_ASM105877v1_genomic.fna	Genbank	Isolate	SAMN03198101	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	370	254	167	129	74	31	5314495	5257214	5051781	4776887	3847671	2299749	303	189489	5293650	43.54	42215	22187	39	80	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
G80507	Bacteroides	58	5019887	52	NA	4147	1	2	GUT_GENOME242496	UHGG	MAG	SAMN05827166	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	58	58	47	44	39	32	5019887	5019887	4985744	4965720	4885893	4596071	58	368165	5019887	43.01	173357	77276	10	20	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
G78527	Bacteroides	81	5122125	57	NA	4209	1	1	GUT_GENOME181860	UHGG	MAG	SAMN05826606	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	81	81	70	63	53	37	5122125	5122125	5083612	5037218	4870434	4211011	81	309262	5122125	43.26	108453	62594	16	31	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
PNP_Main_319	Bacteroides	45	4934868	60	1	4079	1	1	GUT_GENOME270610	UHGG	MAG	SAMEA3664808	Israel	Asia	Homo sapiens	faeces	NA	NA	NA	NA	45	45	40	38	34	26	4934868	4934868	4918851	4902487	4838104	4560902	45	589804	4934868	43.25	187136	121827	8	16	0	o__Bacteroidales_(UID2657)	99.26	0.56	25	1	origin	origin	#c9c493
GUT_GENOME263074	Bacteroides	80	4862442	51	NA	3986	1	2	GUT_GENOME263074	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	80	80	71	63	44	28	4862442	4862442	4834312	4772786	4472132	3917944	80	377137	4862442	43.23	146816	69672	11	24	0	o__Bacteroidales_(UID2657)	98.22	1.08	33.33	1	origin	origin	#c9c493
G80611	Bacteroides	111	4782060	49	NA	3917	1	NA	GUT_GENOME242886	UHGG	MAG	SAMN05827260	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	111	111	101	89	62	37	4782060	4782060	4744687	4658966	4234005	3324418	111	364525	4782060	43.74	74137	44062	22	43	0	o__Bacteroidales_(UID2657)	96.23	0.37	100	1	origin	origin	#c9c493
GCA_000210835	Bacteroides	1	5373121	73	18	4427	1	1	GCA_000210835.1_ASM21083v1_genomic.fna	Genbank	Isolate	SAMEA3138381	NA	NA	Homo sapiens	faeces	NA	NA	NA	NA	1	1	1	1	1	1	5373121	5373121	5373121	5373121	5373121	5373121	1	5373121	5373121	43.42	5373121	5373121	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
G78739	Bacteroides	66	5350760	47	2	4499	2	1	GUT_GENOME182524	UHGG	MAG	SAMN05826785	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	66	66	58	55	47	35	5350760	5350760	5326211	5304624	5177531	4723128	66	492214	5350760	43.35	127984	90600	12	24	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	origin	origin	#c9c493
3783N1_6	Bacteroides	57	5430155	76	10	4560	1	2	GCA_000599065.2_ASM59906v2_genomic.fna	Genbank	Isolate	SAMN02314528	NA	NA	NA	NA	NA	NA	NA	NA	57	49	30	28	25	21	5430155	5425323	5379193	5364241	5326667	5198853	54	1327911	5428950	43.35	343583	174584	4	10	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	origin	origin	#c9c493
3783N2_1	Bacteroides	436	5185876	90	10	4270	1	2	GCA_000598345.1_ASM59834v1_genomic.fna	Genbank	Isolate	SAMN02314533	NA	NA	NA	NA	NA	NA	NA	NA	436	308	174	130	69	25	5185876	5107669	4785984	4479381	3467411	1920903	389	161827	5167215	43.61	37847	18729	41	89	0	o__Bacteroidales_(UID2657)	98.88	0.93	85.71	1	origin	origin	#c9c493
DS_71	Bacteroides	308	5038892	88	11	4045	1	2	GUT_GENOME141453	UHGG	Isolate	SAMN02314418	Bangladesh	Asia	Homo sapiens	NA	NA	NA	NA	NA	308	203	120	87	59	34	5038892	4978296	4797485	4561322	4079531	3199234	256	231806	5018472	43.37	61167	33499	22	49	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
64813	Bacteroides	35	5214028	67	14	4348	1	NA	GUT_GENOME147861	UHGG	Isolate	SAMN02463922	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	35	35	32	29	25	21	5214028	5214028	5204794	5179058	5119788	4959245	35	698375	5214028	43.44	312513	221424	5	10	0	o__Bacteroidales_(UID2657)	99.26	0.07	0	1	origin	origin	#c9c493
FDAARGOS_1025	Bacteroides	1	5224217	73	18	4361	1	2	GCA_018292185.1_ASM1829218v1_genomic.fna	Genbank	Isolate	SAMN16357194	USA	North America	NA	NA	NA	NA	NA	NA	4	4	4	4	3	2	5293163	5293163	5293163	5293163	5268397	5227618	4	5113356	5293163	43.04	5113356	5113356	1	1	0	o__Bacteroidales_(UID2657)	99.26	0.07	0	1	origin	origin	#c9c493
G80406	Bacteroides	168	4653750	61	NA	3756	1	2	GUT_GENOME242009	UHGG	MAG	SAMN05827070	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	168	168	130	98	64	29	4653750	4653750	4524147	4279236	3677945	2399647	168	170003	4653750	43.54	51917	28785	28	57	0	o__Bacteroidales_(UID2657)	97.88	0.12	0	1	origin	origin	#c9c493
885_BFRA	Bacteroides	435	5314007	30	2	4381	1	1	GCA_001058755.1_ASM105875v1_genomic.fna	Genbank	Isolate	SAMN03198091	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	435	308	194	147	72	22	5314007	5252283	4962488	4601023	3327064	1526546	359	136154	5290184	43.55	34263	18023	50	102	0	o__Bacteroidales_(UID2657)	99.07	0	0	1	origin	origin	#c9c493
G80492	Bacteroides	74	4793629	52	2	3974	1	1	GUT_GENOME224791	UHGG	MAG	SAMN05827152	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	74	74	61	53	42	32	4793629	4793629	4760604	4701628	4528095	4153182	74	485444	4793629	43	150623	65368	10	23	0	o__Bacteroidales_(UID2657)	90.52	0	0	1	origin	origin	#c9c493
G69227	Bacteroides	147	4892507	60	5	4031	1	NA	GUT_GENOME224331	UHGG	MAG	SAMN05826561	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	147	147	110	91	60	32	4892507	4892507	4796850	4666333	4163422	3149933	147	231520	4892507	43.64	66611	35212	21	45	0	o__Bacteroidales_(UID2657)	97.4	0	0	1	origin	origin	#c9c493
3725_D9_v_	Bacteroides	75	5595976	96	14	4758	1	NA	GCA_000598585.1_ASM59858v1_genomic.fna	Genbank	Isolate	SAMN02317049	NA	NA	NA	NA	NA	NA	NA	NA	75	58	36	35	32	25	5595976	5587124	5538889	5531170	5483680	5200118	64	643870	5591413	43.23	292374	128609	7	14	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
G78592	Bacteroides	150	4927522	53	1	4080	1	2	GUT_GENOME240394	UHGG	MAG	SAMN05826665	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	150	150	123	106	69	32	4927522	4927522	4843993	4722040	4127519	2852773	150	243892	4927522	43.12	58954	33054	25	54	0	o__Bacteroidales_(UID2657)	98.9	0.07	100	1	origin	origin	#c9c493
G80590	Bacteroides	53	4848538	50	2	4027	2	2	GUT_GENOME242833	UHGG	MAG	SAMN05827242	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	53	53	51	44	36	27	4848538	4848538	4843409	4788696	4636882	4292068	53	562902	4848538	43.54	177012	80884	8	18	0	o__Bacteroidales_(UID2657)	97.3	0	0	1	origin	origin	#c9c493
G80602	Bacteroides	62	4804904	44	1	3920	2	2	GUT_GENOME184279	UHGG	MAG	SAMN05827252	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	62	62	59	56	46	33	4804904	4804904	4793436	4770658	4614772	4135241	62	484820	4804904	43.34	123370	67947	11	24	0	o__Bacteroidales_(UID2657)	98.17	0	0	1	origin	origin	#c9c493
G78715	Bacteroides	129	4922170	44	NA	4007	1	2	GUT_GENOME240739	UHGG	MAG	SAMN05826768	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	129	129	116	93	65	36	4922170	4922170	4884885	4716475	4233245	3219384	129	185669	4922170	43.38	61911	36289	23	47	0	o__Bacteroidales_(UID2657)	97.98	0	0	1	origin	origin	#c9c493
S23L24	Bacteroides	122	5322122	78	9	4458	1	2	GCA_000599305.1_ASM59930v1_genomic.fna	Genbank	Isolate	SAMN02315068	NA	NA	NA	NA	NA	NA	NA	NA	122	106	67	60	50	34	5322122	5313821	5226426	5172190	5031483	4440334	113	305039	5318752	43.34	147625	77114	13	27	0	o__Bacteroidales_(UID2657)	99.26	0.07	0	1	origin	origin	#c9c493
3976T8	Bacteroides	73	5407695	88	14	4488	1	1	GCA_000599185.2_ASM59918v2_genomic.fna	Genbank	Isolate	SAMN02314538	NA	NA	NA	NA	NA	NA	NA	NA	73	65	51	47	40	32	5407695	5403762	5371274	5349186	5250233	4946912	69	337055	5406207	43.72	175435	103977	11	22	0	o__Bacteroidales_(UID2657)	99.26	0.28	50	1	origin	origin	#c9c493
MCC108	Bacteroides	2	5248938	79	18	4399	1	2	GCA_016889925.1_ASM1688992v1_genomic.fna	Genbank	Isolate	SAMN12147343	Ireland	Europe	Homo sapiens	faeces	NA	NA	51.8985	8.4756	102	70	54	46	40	33	5288074	5275011	5242280	5185706	5100701	4808764	76	449067	5279472	43.62	166069	87785	11	21	26.21	o__Bacteroidales_(UID2657)	99.26	1.02	0	1	origin	origin	#c9c493
2_F_2_4	Bacteroides	213	5576588	81	11	4657	1	1	GCA_000598825.1_ASM59882v1_genomic.fna	Genbank	Isolate	SAMN02314421	NA	NA	NA	NA	NA	NA	NA	NA	213	178	103	82	58	31	5576588	5553777	5375967	5218955	4836810	3837776	203	366183	5572666	43.42	103460	42349	17	39	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
64819	Bacteroides	24	5414224	75	10	4574	2	NA	GUT_GENOME147863	UHGG	Isolate	SAMN02463925	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	24	24	18	17	17	14	5414224	5414224	5401501	5395014	5395014	5264974	24	1356635	5414224	43.62	579074	319451	4	7	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
GUT_GENOME262003	Bacteroides	39	4654889	53	NA	3793	1	2	GUT_GENOME262003	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	39	39	38	36	30	21	4654889	4654889	4652674	4640740	4563874	4224335	39	737845	4654889	43.33	328266	109593	5	12	0	o__Bacteroidales_(UID2657)	98.48	0.19	0	1	origin	origin	#c9c493
S38L3	Bacteroides	40	4955059	67	7	4015	1	3	GCA_000598765.2_ASM59876v2_genomic.fna	Genbank	Isolate	SAMN02315069	NA	NA	NA	NA	NA	NA	NA	NA	40	39	19	19	18	16	4955059	4954698	4914930	4914930	4900518	4839614	39	896013	4954698	43.24	398504	310937	5	8	0	o__Bacteroidales_(UID2657)	98.88	1.49	88.89	1	origin	origin	#c9c493
S38L5	Bacteroides	83	4971985	82	16	4015	1	3	GCA_000599365.1_ASM59936v1_genomic.fna	Genbank	Isolate	SAMN02315070	NA	NA	NA	NA	NA	NA	NA	NA	83	71	43	35	29	23	4971985	4964077	4899104	4840210	4731840	4492797	81	511517	4971310	43.26	213485	117721	8	15	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	origin	origin	#c9c493
G80592	Bacteroides	68	5155849	52	NA	4307	1	NA	GUT_GENOME242836	UHGG	MAG	SAMN05827244	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	68	68	60	56	48	33	5155849	5155849	5136996	5102889	4974205	4392256	68	452365	5155849	43.65	124876	79514	12	25	0	o__Bacteroidales_(UID2657)	98.87	0	0	1	origin	origin	#c9c493
G80584	Bacteroides	48	4956476	41	NA	4098	1	NA	GUT_GENOME184241	UHGG	MAG	SAMN05827237	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	48	48	46	43	36	27	4956476	4956476	4949649	4925474	4819837	4486815	48	514344	4956476	43.71	206306	95242	8	16	0	o__Bacteroidales_(UID2657)	99.11	0	0	1	origin	origin	#c9c493
YCH46	Bacteroides	2	5310990	73	18	4409	1	1	GCA_000009925.1_ASM992v1_genomic.fna	Genbank	Isolate	SAMD00061068	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	5310990	5310990	5310990	5310990	5310990	5277274	2	5277274	5310990	43.2	5277274	5277274	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
S23L17	Bacteroides	133	5333423	88	11	4458	1	2	GCA_000601055.1_ASM60105v1_genomic.fna	Genbank	Isolate	SAMN02315067	NA	NA	NA	NA	NA	NA	NA	NA	133	109	79	62	50	32	5333423	5320780	5250432	5126259	4936132	4214139	119	444802	5327484	43.36	105766	61864	13	29	0	o__Bacteroidales_(UID2657)	98.88	0.45	50	1	origin	origin	#c9c493
bgi_T2D_105A	Bacteroides	159	4744405	58	2	3921	1	1	GUT_GENOME229419	UHGG	MAG	SAMN00792020	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	159	159	102	86	62	33	4744405	4744405	4619308	4500476	4096136	2989469	159	296213	4744405	43.2	65794	39668	23	46	0	o__Bacteroidales_(UID2657)	91.65	0.19	100	1	origin	origin	#c9c493
S23_R14	Bacteroides	263	5261742	96	6	4396	1	4	GCA_000598665.1_ASM59866v1_genomic.fna	Genbank	Isolate	SAMN02314430	NA	NA	NA	NA	NA	NA	NA	NA	263	200	96	83	59	31	5261742	5228519	5017677	4917031	4502583	3447748	225	233552	5246586	43.09	85652	40465	18	42	0	o__Bacteroidales_(UID2657)	97.03	3	94.74	1	origin	origin	#c9c493
G80351	Bacteroides	58	4655186	51	2	3758	1	2	GUT_GENOME241745	UHGG	MAG	SAMN05827015	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	58	58	57	53	43	31	4655186	4655186	4650737	4616663	4440333	4002203	58	389063	4655186	43.34	120416	81659	12	23	0	o__Bacteroidales_(UID2657)	92.86	0.19	100	1	origin	origin	#c9c493
3976T7	Bacteroides	447	5225257	87	9	4285	1	2	GCA_000598165.1_ASM59816v1_genomic.fna	Genbank	Isolate	SAMN02314536	NA	NA	NA	NA	NA	NA	NA	NA	447	316	183	137	70	23	5225257	5146097	4812722	4493670	3378882	1722256	394	259474	5203638	43.67	35962	18122	44	95	0	o__Bacteroidales_(UID2657)	99.26	1.86	87.5	1	origin	origin	#c9c493
G78898	Bacteroides	161	4779319	64	17	3925	1	NA	GUT_GENOME223879	UHGG	MAG	SAMN05826915	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	161	161	123	101	67	31	4779319	4779319	4681988	4524868	3887384	2635731	161	180035	4779319	44.18	56413	30721	27	56	0	o__Bacteroidales_(UID2657)	95.7	0.58	25	1	origin	origin	#c9c493
bgi_DLF009	Bacteroides	95	5279727	60	NA	4476	1	NA	GUT_GENOME178100	UHGG	MAG	SAMN00715204	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	95	95	78	63	49	32	5279727	5279727	5220916	5106050	4892743	4247494	95	358116	5279727	43.18	122321	61497	13	27	0	o__Bacteroidales_(UID2657)	99.26	0.99	25	1	origin	origin	#c9c493
PR128	Bacteroides	31	4626005	52	1	3780	1	3	GUT_GENOME171717	UHGG	MAG	SAMN03281018	Singapore	Asia	Homo sapiens	faeces	NA	NA	NA	NA	31	31	30	30	27	25	4626005	4626005	4622098	4622098	4575379	4489891	31	724198	4626005	43.22	223948	148470	8	14	0	o__Bacteroidales_(UID2657)	97.03	0	0	1	origin	origin	#c9c493
2_F_2_7	Bacteroides	363	5655706	80	10	4692	1	1	GCA_000598145.1_ASM59814v1_genomic.fna	Genbank	Isolate	SAMN02314427	NA	NA	NA	NA	NA	NA	NA	NA	363	250	139	110	70	33	5655706	5592223	5348876	5139770	4496880	3143790	312	345687	5635496	43.45	56909	31117	27	61	0	o__Bacteroidales_(UID2657)	99.26	3.61	100	1	origin	origin	#c9c493
G78890	Bacteroides	158	4757857	39	1	3885	1	2	GUT_GENOME182933	UHGG	MAG	SAMN05826907	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	158	158	145	114	66	28	4757857	4757857	4709244	4478721	3694894	2252333	158	166364	4757857	43.39	46940	29880	31	62	0	o__Bacteroidales_(UID2657)	96.74	0.5	0	1	origin	origin	#c9c493
J38_1	Bacteroides	120	5144743	78	11	4177	1	1	GUT_GENOME141449	UHGG	Isolate	SAMN02314412	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	120	107	59	47	40	30	5144743	5137525	5012433	4910497	4778008	4419287	114	620440	5142458	43.4	156598	78518	10	21	0	o__Bacteroidales_(UID2657)	99.26	0.37	50	1	origin	origin	#c9c493
G78852	Bacteroides	225	4831737	37	3	3919	1	2	GUT_GENOME182777	UHGG	MAG	SAMN05826871	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	225	225	187	144	68	20	4831737	4831737	4693615	4388410	3150712	1526888	225	129055	4831737	43.38	32413	19059	43	90	0	o__Bacteroidales_(UID2657)	95.53	0.37	0	1	origin	origin	#c9c493
GUT_GENOME104581	Bacteroides	367	4681115	36	1	3792	1	1	GUT_GENOME104581	UHGG	MAG	SAMEA1906575	Sweden	Europe	Homo sapiens	faeces	NA	NA	NA	NA	367	367	245	158	41	12	4681115	4681115	4305717	3677846	1786871	804988	367	94940	4681115	43.29	19572	11437	66	143	0	o__Bacteroidales_(UID2657)	92.27	1.56	11.11	1	origin	origin	#c9c493
GUT_GENOME104444	Bacteroides	72	5353201	52	NA	4516	1	1	GUT_GENOME104444	UHGG	MAG	SAMEA1906533	Sweden	Europe	Homo sapiens	faeces	NA	NA	NA	NA	72	72	61	58	45	35	5353201	5353201	5322905	5300342	5079305	4693181	72	387688	5353201	43.3	135465	83201	13	26	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	origin	origin	#c9c493
G80388	Bacteroides	248	4727411	36	1	3846	NA	1	GUT_GENOME184415	UHGG	MAG	SAMN05827052	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	248	248	215	156	63	19	4727411	4727411	4602071	4163159	2674613	1165079	248	97438	4727411	43.51	28703	15632	52	108	0	o__Bacteroidales_(UID2657)	94.7	0.56	0	1	origin	origin	#c9c493
MSK_13_23	Bacteroides	105	5826843	55	7	5117	1	2	GCA_015547555.1_ASM1554755v1_genomic.fna	Genbank	Isolate	SAMN19731862	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	99	68	52	48	43	28	4931551	4915718	4884495	4854413	4768731	4190421	81	365825	4924339	43.27	180025	81500	10	21	0	o__Bacteroidales_(UID2657)	99.26	1.8	0	2	NA	NA	NA
CD10_MAG1	Bacteroides	111	5322165	53	3	4481	1	NA	GCA_015070945.1_ASM1507094v1_genomic.fna	Genbank	MAG	SAMN18499163	Australia	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	121	121	116	95	63	36	4864580	4864580	4848036	4699201	4120481	3132742	121	232922	4864580	43.42	69860	38311	24	49	0	o__Bacteroidales_(UID2657)	98.51	0.12	0	2	NA	NA	NA
M2_46_ST	Bacteroides	53	5071870	48	NA	4235	1	NA	GUT_GENOME012580	UHGG	MAG	SAMN02334054	Fiji	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	53	53	51	49	40	30	5071870	5071870	5067898	5053750	4885178	4498443	53	384460	5071870	43.44	156152	83637	9	20	0	o__Bacteroidales_(UID2657)	99.24	0.37	100	2	NA	NA	NA
GUT_GENOME148254	Bacteroides	199	4442741	43	NA	3660	1	NA	GUT_GENOME148254	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	199	199	164	132	59	20	4442741	4442741	4332742	4100865	2923336	1513002	199	163204	4442741	44.13	36882	19580	37	78	0	o__Bacteroidales_(UID2657)	90.66	1.72	12.5	2	NA	NA	NA
M1_6_ST	Bacteroides	96	4762472	33	NA	3882	1	2	GUT_GENOME012121	UHGG	MAG	SAMN02333956	Fiji	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	96	96	87	75	52	34	4762472	4762472	4739115	4654538	4269930	3602817	96	261349	4762472	43.32	86857	51070	17	34	0	o__Bacteroidales_(UID2657)	96.13	1.12	16.67	2	NA	NA	NA
bgi_T2D_148A	Bacteroides	116	5026531	46	1	4159	1	1	GUT_GENOME229972	UHGG	MAG	SAMN00792051	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	116	116	91	72	55	36	5026531	5026531	4937018	4808061	4539051	3877623	116	347690	5026531	43.22	92185	54044	17	34	0	o__Bacteroidales_(UID2657)	94.71	0.37	0	2	NA	NA	NA
G80318	Bacteroides	383	4448740	22	1	3569	1	1	GUT_GENOME183513	UHGG	MAG	SAMN05826985	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	383	383	274	168	36	4	4448740	4448740	4074596	3299444	1284839	244293	383	67706	4448740	43.87	16000	9726	84	172	0	o__Bacteroidales_(UID2657)	92.32	1.56	33.33	2	NA	NA	NA
FDAARGOS_1222	Bacteroides	146	5100293	59	3	4170	1	3	GCA_019131915.1_ASM1913191v1_genomic.fna	Genbank	Isolate	SAMN16357364	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	10	10	9	7	4	3	5626424	5626424	5623641	5605055	5562586	5524743	10	4269995	5626424	43.6	4269995	4269995	1	1	0	o__Bacteroidales_(UID2657)	99.26	0	0	2	NA	NA	NA
FDAARGOS_763	Bacteroides	4	5605704	74	18	4839	1	NA	GCA_013267555.1_ASM1326755v1_genomic.fna	Genbank	Isolate	SAMN11056478	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	4	4	3	3	3	3	5605704	5605704	5602921	5602921	5602921	5602921	4	5460140	5605704	43.59	5460140	5460140	1	1	0	o__Bacteroidales_(UID2657)	99.26	0.12	0	2	NA	NA	NA
M1_44_ST	Bacteroides	70	4983402	55	NA	4139	1	1	GUT_GENOME011691	UHGG	MAG	SAMN02333997	Fiji	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	70	70	62	58	47	34	4983402	4983402	4961316	4928123	4733374	4217967	70	303661	4983402	43.53	124187	67736	14	27	0	o__Bacteroidales_(UID2657)	99.26	0.65	0	2	NA	NA	NA
bgi_DLM015	Bacteroides	66	4784108	37	2	3917	NA	NA	GUT_GENOME149912	UHGG	MAG	SAMN00715213	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	66	66	64	59	46	33	4784108	4784108	4775858	4742002	4543790	4106905	66	313449	4784108	43.28	131895	80209	14	25	0	o__Bacteroidales_(UID2657)	96.22	0.56	100	2	NA	NA	NA
bgi_DOM005	Bacteroides	61	4793987	51	NA	3929	1	NA	GUT_GENOME150221	UHGG	MAG	SAMN00715157	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	61	61	60	56	46	31	4793987	4793987	4791725	4762739	4583429	4013112	61	375310	4793987	43.4	123232	64082	12	24	0	o__Bacteroidales_(UID2657)	97.8	0	0	2	NA	NA	NA
GUT_GENOME152331	Bacteroides	116	4843078	31	NA	3922	NA	1	GUT_GENOME152331	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	116	116	100	81	59	36	4843078	4843078	4797329	4653163	4293005	3484631	116	324650	4843078	43.2	79365	41026	20	40	0	o__Bacteroidales_(UID2657)	96.15	0.74	50	2	NA	NA	NA
GUT_GENOME152339	Bacteroides	73	4812598	46	NA	3957	1	1	GUT_GENOME152339	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	73	73	65	60	46	35	4812598	4812598	4783427	4748518	4530692	4119468	73	632972	4812598	43.31	119417	59075	11	26	0	o__Bacteroidales_(UID2657)	98.37	0.37	100	2	NA	NA	NA
WL_43_ST	Bacteroides	110	5353633	55	NA	4528	1	NA	GUT_GENOME015761	UHGG	MAG	SAMN02334153	Fiji	Oceania	Homo sapiens	faeces	NA	NA	NA	NA	110	110	87	78	58	43	5353633	5353633	5282699	5212673	4863845	4282491	110	213928	5353633	43.31	97259	55838	21	39	0	o__Bacteroidales_(UID2657)	99.26	0.43	0	2	NA	NA	NA
